Last Name,First Name,KIA,War
DION, JOSEPH L JR,FALSE,WW1
DORAN CHARLES J,,FALSE,WW1
DRAINVILLE, EMILE,FALSE,WW1
DRAINVILLE, HECTOR,FALSE,WW1
DRAINVILLE, JOSEPH E,FALSE,WW1
DROWNE, FREDERICK P,FALSE,WW1
DRYSDALE, CHARLES G.,FALSE,WW1
DRYSDALE, EDWARD,FALSE,WW1
DRYSDALE, WILLIAM JR,FALSE,WW1
DUBE, ALPHONSO J,FALSE,WW1
DUBOIS ALFRED J,,FALSE,WW1
DUBOIS CHARLES W.,,FALSE,WW1
DUBOIS, LOUIS,FALSE,WW1
DUBUQUE, WILLIAM,FALSE,WW1
DUCKWORTH, CHARLES G,FALSE,WW1
DUMONT, JOHN,FALSE,WW1
EATON, HOWARD H,FALSE,WW1
EKMAN, CARL,FALSE,WW1
EMMETT, ROBERT J,FALSE,WW1
ENNIS, EDWARD J,FALSE,WW1
ENNIS, JULIAN,FALSE,WW1
FAINE, PORTER,FALSE,WW1
FLAGG, EDMUND,FALSE,WW1
FLEET, SAMUEL H,FALSE,WW1
FLETCHER, PAUL W,FALSE,WW1
FOREST, WILLIAM E,FALSE,WW1
FORTIER, DONAT,FALSE,WW1
FORTIN, ARTHUR J,FALSE,WW1
FORTIN, GEORGE,FALSE,WW1
FORTORA, DOMENIC,FALSE,WW1
FOURNIER, ADELARD,FALSE,WW1
FOURNIER, JOSEPH,FALSE,WW1
FOURNIER, MEDERIC J,TRUE,WW1
FRAZER, MANUEL,FALSE,WW1
FREELOVE, LESTER G,FALSE,WW1
GAGNON, GEORGE J,FALSE,WW1
GALAWSZKA, HENRY,FALSE,WW1
GAMAGE, CHARLES B,FALSE,WW1
GANCZ, JOHN,FALSE,WW1
GARCEAU, AMDEE J,FALSE,WW1
GARCEAU, HENRY G,FALSE,WW1
GARDNER, PAUL A,FALSE,WW1
GAREIS, ERNEST,FALSE,WW1
GARVIN, GEORGE J,FALSE,WW1
GASPARRO, CARMINE,FALSE,WW1
GAUNTLETT, WALTER D,FALSE,WW1
GAUTHIER, ALBERT J,FALSE,WW1
GAUVIN, OLIVER,FALSE,WW1
GELINAS, CHARLES,FALSE,WW1
GELINAS, WELFRED,FALSE,WW1
GEORGE, STEVE,FALSE,WW1
GIGUERE, EDWARD,FALSE,WW1
GILDERT, JOHN A,FALSE,WW1
GILL, AUSTIN C,FALSE,WW1
GILLAN, JAMES,FALSE,WW1
GILLON, WILLIAM,FALSE,WW1
GILMOUR, JOHN,FALSE,WW1
GIRARD, EUGENE J,FALSE,WW1
GIRARDI, JOSEPH,FALSE,WW1
GLANCY, WALTER,FALSE,WW1
GOFF, NATHAN D,FALSE,WW1
GOFF, RUFUS H,FALSE,WW1
GOLOSKIE, ALBERT,FALSE,WW1
GOLOSKIE, CHARLES,FALSE,WW1
GOLOSKIE, JOHN,FALSE,WW1
GONZENBACH, WALTER,FALSE,WW1
GOULET, LUCIEN O,FALSE,WW1
GOURLEY, HUGH,FALSE,WW1
GOVER, RUSSELL,FALSE,WW1
GRACYALNY, JOHN,FALSE,WW1
GRANGER, EUCIDE B,FALSE,WW1
GRAVES, ELMER A,FALSE,WW1
GREENHAIGH, HARRY,FALSE,WW1
GRIFFITH, BENJAMIN F,FALSE,WW1
GRIFFITH, ROBERT F,FALSE,WW1
GURRY, ELLIS T,FALSE,WW1
HAFLIGER, CHARLES,FALSE,WW1
HAFLIGER, FRITZ,FALSE,WW1
HAFLIGER, JOHANNES,FALSE,WW1
HALL, BENJAMIN M,FALSE,WW1
HALL, JOHN R,FALSE,WW1
HALL, PRESTON I JR,FALSE,WW1
HALL, WILLIAM B JR,FALSE,WW1
HAMEL, BRUNO A,FALSE,WW1
HARRIS, GEORGE,FALSE,WW1
